version,isuserpro,isuserstaff,haspaywall,israted,isoriginal,hascustomaudio,hascustomvideo,ncomments,nfavorites,nviews,nratings,rating,license,licenseurl,genres,groups,tags,songname,title,subtitle,artistname,composername,publisher,complexity,ntracks,tracks,songlength,songlengthseconds,songlengthbars,songlengthbeats,nnotes,notesperbar,nannotations,nlyrics,haslyrics,ntokens,pitchclassentropy,scaleconsistency,grooveconsistency,bestpath,isbestpath,bestarrangement,isbestarrangement,bestuniquearrangement,isbestuniquearrangement,subsetrated,subsetdeduplicated,subsetrateddeduplicated,path_metadata,hasmetadata_isuserpublisher_isofficial_isdraft_hasannotations_subsetall
3.01,True,False,False,False,False,False,False,0,0,1,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,classical,,,Lady Anne Gordon's Reel,William Marshall - Lady Anne Gordon's Reel,,William Marshall,William Marshall,,1,1,0,61440,66.20701070003034,34,130,260,7.647058823529412,4,0,False,264,2.553224691768813,1.0,0.9700520833333334,/data2/zachary/musescore/data/c/J/QmcJu5gmZvoHn7MJQPGn5Wvih33RTYztmrXvfKLEvR1jNM.mscz,False,/data2/zachary/musescore/data/c/R/QmcRqFk5vtexs9TLSdBaLD1F25BCVaWtnHASxAHpDGvWq9.mscz,False,/data2/zachary/musescore/data/Q/d/QmQdx28jjeAaGYTnGqKxebDYxnAE1vLHK9YGXkE2n4d6K8.mscz,False,False,False,False,./data/T/3/QmT3Pxf4X7ZdCnvgtYvnrzMofenxz1LqTeYBwfddwQfwyi.json./metadata/1/4595234.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,8,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,classical,,,Beethoven's Waltz. CJF.019,Beethoven - Beethoven's Waltz. CJF.019,,Ludwig van Beethoven,Beethoven ?,,1,1,0,26280,27.37499999961219,38,111,153,4.026315789473684,20,0,False,173,3.098343473853258,0.8888888888888888,0.8189102564102564,/data2/zachary/musescore/data/Y/C/QmYCUeW8CyA9Hjfe8qHreit94DQkEo41QdPTaVJZYC1V49.mscz,False,/data2/zachary/musescore/data/Y/C/QmYCUeW8CyA9Hjfe8qHreit94DQkEo41QdPTaVJZYC1V49.mscz,False,/data2/zachary/musescore/data/e/m/QmemFtwa8n8qmba5Wx7CKsnSbmuhxMhkTkEWdLDVfeKfZS.mscz,False,False,False,False,./data/T/j/QmTjTt1PASr7WZAdBHuFweZEX4RtthTbhZwEmFnXcPgoXC.json./metadata/1/4687473.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,21,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,Poor Ould Woman,Poor Ould Woman,,Misc tunes,,,1,1,0,61440,127.99999999349332,36,68,228,6.333333333333333,3,0,False,231,2.648621045642504,0.9912280701754386,0.9733072916666666,/data2/zachary/musescore/data/Y/T/QmYTrMnu1wWnKcxXbDpVCyaDPGq3GiPQ7GTbKvnDXg7Ya4.mscz,False,/data2/zachary/musescore/data/a/a/QmaahMHX51JmiE3LZUbdFpvTTuMdiV8Uvmvg6WPn1ATqJ5.mscz,False,/data2/zachary/musescore/data/a/a/QmaahMHX51JmiE3LZUbdFpvTTuMdiV8Uvmvg6WPn1ATqJ5.mscz,False,False,False,False,./data/d/X/QmdXifBADec9PghgkDpDhqmgthSWy5fDLHEvAmk7Duw5PL.json./metadata/6/4563235.json,TrueFalseFalseFalseTrueTrue
2.06,False,False,False,False,True,False,False,0,7,281,0,0.0,cc-zero,https://creativecommons.org/publicdomain/zero/1.0/,,,titanic-god-original,Nearer My God to Thee,Nearer My God to Thee,,stepandolsky,Lowell Masonarr. James Horner,,0,3,40-41-42,76800,137.14246530361748,40,160,240,6.0,71,0,False,311,2.606033687448923,1.0,0.9536458333333332,/data2/zachary/musescore/data/S/J/QmSJebudN4xms6Xa2yr5Z8Gi6oe8HrxnuiHVTBfjg3CrwB.mscz,False,/data2/zachary/musescore/data/d/h/QmdhqzxXBFjiUrnP8r9AvxK2ojRiToURYTky6tMBCT2Qa3.mscz,True,/data2/zachary/musescore/data/d/h/QmdhqzxXBFjiUrnP8r9AvxK2ojRiToURYTky6tMBCT2Qa3.mscz,True,False,True,False,./data/d/h/QmdhqzxXBFjiUrnP8r9AvxK2ojRiToURYTky6tMBCT2Qa3.json./metadata/6/5932103.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,4,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,the CAPTAIN'S LADY,the CAPTAIN'S LADY,,Misc tunes,,,1,1,0,69120,143.99999999268002,40,76,170,4.25,12,0,False,182,2.664865896525911,1.0,0.9195601851851852,/data2/zachary/musescore/data/Y/T/QmYTrMnu1wWnKcxXbDpVCyaDPGq3GiPQ7GTbKvnDXg7Ya4.mscz,False,/data2/zachary/musescore/data/a/a/QmaahMHX51JmiE3LZUbdFpvTTuMdiV8Uvmvg6WPn1ATqJ5.mscz,False,/data2/zachary/musescore/data/a/a/QmaahMHX51JmiE3LZUbdFpvTTuMdiV8Uvmvg6WPn1ATqJ5.mscz,False,False,False,False,./data/b/N/QmbN7AengCjLRxteTW4e2MRv1REF5rmieaGWnL7gBymGKC.json./metadata/1/4930730.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,True,False,False,0,0,24,0,0.0,cc-zero,https://creativecommons.org/publicdomain/zero/1.0/,,,,Waking up...,Waking up...,,The Choir Guy,,,0,12,0-40-40-41-42-43-52-56-56-71-73-73,149160,122.51039479959704,60,312,478,7.966666666666667,119,35,True,632,2.582793249392415,0.9121338912133892,0.928921568627451,/data2/zachary/musescore/data/d/R/QmdRm6mj3D9cSnQp6Jes8y3UkMGPjHnShF36BhdSNagJiE.mscz,False,/data2/zachary/musescore/data/d/J/QmdJeWcHbrDp6DHABY4AgnP28SwVY1VNYnHDmgPXpQ2oPD.mscz,True,/data2/zachary/musescore/data/d/J/QmdJeWcHbrDp6DHABY4AgnP28SwVY1VNYnHDmgPXpQ2oPD.mscz,True,False,True,False,./data/d/J/QmdJeWcHbrDp6DHABY4AgnP28SwVY1VNYnHDmgPXpQ2oPD.json./metadata/4/5837619.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,2,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,classical,,,Many souls are sinking in the wreck today,Many souls are sinking in the wreck today - Jno. R. Sweney,,John R. Sweney,,,2,1,0,48240,56.54988989879326,29,199,421,14.517241379310343,18,0,False,439,2.566311904562848,0.995249406175772,0.9316666666666666,/data2/zachary/musescore/data/a/x/QmaxmPJRV7RZtSQYiqb7A9WVpCVx4w265iufpQAoDFeD3o.mscz,True,/data2/zachary/musescore/data/a/x/QmaxmPJRV7RZtSQYiqb7A9WVpCVx4w265iufpQAoDFeD3o.mscz,True,/data2/zachary/musescore/data/a/x/QmaxmPJRV7RZtSQYiqb7A9WVpCVx4w265iufpQAoDFeD3o.mscz,True,False,True,False,./data/a/x/QmaxmPJRV7RZtSQYiqb7A9WVpCVx4w265iufpQAoDFeD3o.json./metadata/1/5771459.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,0,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,The Gammaho,The Gammaho,,Misc tunes,,,1,1,0,69120,35.99999999952,48,288,232,4.833333333333333,2,0,False,234,2.7524555408424183,0.9913793103448276,0.9351851851851852,/data2/zachary/musescore/data/Y/T/QmYTrMnu1wWnKcxXbDpVCyaDPGq3GiPQ7GTbKvnDXg7Ya4.mscz,False,/data2/zachary/musescore/data/a/a/QmaahMHX51JmiE3LZUbdFpvTTuMdiV8Uvmvg6WPn1ATqJ5.mscz,False,/data2/zachary/musescore/data/a/a/QmaahMHX51JmiE3LZUbdFpvTTuMdiV8Uvmvg6WPn1ATqJ5.mscz,False,False,False,False,./data/S/v/QmSvZU3y4NbW22DHorf8XZedQkyJ9yijczPNWAqzVgTsnK.json./metadata/2/4868636.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,5,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,Winster Gallop,Winster Gallop,,Misc tunes,,,1,1,0,38400,39.99999999896667,40,80,141,3.525,5,0,False,146,2.696116823703745,1.0,0.9614583333333332,/data2/zachary/musescore/data/Y/T/QmYTrMnu1wWnKcxXbDpVCyaDPGq3GiPQ7GTbKvnDXg7Ya4.mscz,False,/data2/zachary/musescore/data/a/a/QmaahMHX51JmiE3LZUbdFpvTTuMdiV8Uvmvg6WPn1ATqJ5.mscz,False,/data2/zachary/musescore/data/a/a/QmaahMHX51JmiE3LZUbdFpvTTuMdiV8Uvmvg6WPn1ATqJ5.mscz,False,False,False,False,./data/c/q/QmcqsyZLtAXrJXt4CWtL6NWDaL1sJ5c8U7jutQ4zrkA254.json./metadata/4/4699192.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,4,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,Roarin' Donald,Roarin' Donald,,Misc tunes,,,1,1,0,124320,129.4999999966546,65,259,479,7.369230769230769,1,0,False,480,2.438679153002449,0.9916492693110648,0.953125,/data2/zachary/musescore/data/Y/T/QmYTrMnu1wWnKcxXbDpVCyaDPGq3GiPQ7GTbKvnDXg7Ya4.mscz,False,/data2/zachary/musescore/data/a/a/QmaahMHX51JmiE3LZUbdFpvTTuMdiV8Uvmvg6WPn1ATqJ5.mscz,False,/data2/zachary/musescore/data/a/a/QmaahMHX51JmiE3LZUbdFpvTTuMdiV8Uvmvg6WPn1ATqJ5.mscz,False,False,False,False,./data/b/t/Qmbty4Yc7ga7Y9r38Rw9BNNEBRYExtzKTpFyJsuD5b6LEj.json./metadata/6/4957299.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,2,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,classical,,,Look unto Me and be ye saved O hear,Look unto Me and be ye saved O hear - James McGranahan,,James McGranahan,,,2,1,0,28560,32.17493714931037,18,239,290,16.11111111111111,13,0,False,303,2.6204380725565497,0.9793103448275862,0.9107142857142856,/data2/zachary/musescore/data/R/5/QmR5oCLn7koRWV6Uv6cmAtwdZBEaTyKCTwEV9NGNenhdLu.mscz,False,/data2/zachary/musescore/data/b/z/QmbzT25fKqefuwNjrRZCw2PMMqEa16YLN5VSMBjcv4JxN5.mscz,False,/data2/zachary/musescore/data/T/6/QmT6d5fLfmnTZGhwX1ojG1DFJR5eRbGiWNYWQ6hSFk4Z32.mscz,True,False,True,False,./data/T/6/QmT6d5fLfmnTZGhwX1ojG1DFJR5eRbGiWNYWQ6hSFk4Z32.json./metadata/6/5795667.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,2,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,Rheinl\aender Polka Nr. 6,Rheinl\aender Polka Nr. 6,,Misc tunes,,,1,1,0,32400,33.74999999912813,34,68,166,4.882352941176471,3,0,False,169,2.8617248110714404,0.9216867469879518,0.8984375,/data2/zachary/musescore/data/b/g/Qmbgc3TVnx6jRFnpmhZZ6nt44bzExvdhdA3s97WDbWJDAp.mscz,False,/data2/zachary/musescore/data/T/i/QmTiPQKV7QeH7hDJa7Jer4QH6xNa7jMceZSuDL2rcA7M5a.mscz,False,/data2/zachary/musescore/data/d/x/QmdxeTJdaLBwxUZnpBsreZAnLfwS7xH4vukVp4JSGsVtK2.mscz,False,False,False,False,./data/c/p/Qmcp1djFaBaWwKtRwGZjxsyzhkGkDtVMphYAVYHp3m4uib.json./metadata/2/5111195.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,4,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,Smokies In Arbroath,Smokies In Arbroath,,Misc tunes,,,1,1,0,61920,64.49999999833375,33,129,232,7.03030303030303,1,0,False,233,2.641963021747008,1.0,0.927734375,/data2/zachary/musescore/data/U/j/QmUjiJmYmpBfQWhrJH4fqnQLo1kZUtewLyzjGVyWXXU2pz.mscz,False,/data2/zachary/musescore/data/U/j/QmUjiJmYmpBfQWhrJH4fqnQLo1kZUtewLyzjGVyWXXU2pz.mscz,False,/data2/zachary/musescore/data/U/j/QmUjiJmYmpBfQWhrJH4fqnQLo1kZUtewLyzjGVyWXXU2pz.mscz,False,False,False,False,./data/Q/r/QmQrXHj91KGLkCzgp1bx6iobdwajj2yJcXpTNZ6m4iykRX.json./metadata/0/4837253.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,2,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,classical,,,Let all the ransomed unite to sing,Let all the ransomed unite to sing - Howard E. Smith,,Howard E. Smith,,,2,1,0,23040,14.3999711998632,16,96,235,14.6875,9,1,True,245,2.9070959929080047,0.9659574468085106,0.9826388888888888,/data2/zachary/musescore/data/S/e/QmSeneU6Ldi89rnEo6BWty4WexQgTrckNQ6V9bVD27dgyY.mscz,True,/data2/zachary/musescore/data/S/e/QmSeneU6Ldi89rnEo6BWty4WexQgTrckNQ6V9bVD27dgyY.mscz,True,/data2/zachary/musescore/data/S/e/QmSeneU6Ldi89rnEo6BWty4WexQgTrckNQ6V9bVD27dgyY.mscz,True,False,True,False,./data/S/e/QmSeneU6Ldi89rnEo6BWty4WexQgTrckNQ6V9bVD27dgyY.json./metadata/4/5763594.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,45,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,The Wearing Of The Green,Traditional music - THE WEARING OF THE GREEN,,Misc tunes,Traditional,,1,1,0,30720,95.999951997384,19,65,289,15.210526315789474,4,0,False,293,2.700586227681905,1.0,0.9518229166666666,/data2/zachary/musescore/data/R/u/QmRumvVGiyJiKZaaBouVYahPYB7Ww2WBDhsYac7DRQQMEm.mscz,True,/data2/zachary/musescore/data/R/u/QmRumvVGiyJiKZaaBouVYahPYB7Ww2WBDhsYac7DRQQMEm.mscz,True,/data2/zachary/musescore/data/R/u/QmRumvVGiyJiKZaaBouVYahPYB7Ww2WBDhsYac7DRQQMEm.mscz,True,False,True,False,./data/R/u/QmRumvVGiyJiKZaaBouVYahPYB7Ww2WBDhsYac7DRQQMEm.json./metadata/1/4685616.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,5,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,classical,,,As you follow Jesus onward,As you follow Jesus onward - Thoro Harris,,Thoro Harris,,,2,1,0,32160,39.89992319911645,19,67,274,14.421052631578949,11,0,False,285,2.639684915707753,0.9963503649635036,0.9440104166666666,/data2/zachary/musescore/data/f/X/QmfXpv3vgVjvAPJronJoUwowyPpt5r5YzEH1457M6Perrq.mscz,False,/data2/zachary/musescore/data/f/X/QmfXpv3vgVjvAPJronJoUwowyPpt5r5YzEH1457M6Perrq.mscz,False,/data2/zachary/musescore/data/X/M/QmXMS6nrqozdZN6JWELBWEiHqpc3eyvMSR7RsyCEnruXku.mscz,True,False,True,False,./data/X/M/QmXMS6nrqozdZN6JWELBWEiHqpc3eyvMSR7RsyCEnruXku.json./metadata/3/5783607.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,1,7,0,0.0,cc-zero,https://creativecommons.org/publicdomain/zero/1.0/,folk,,,Nouvelleté d'Amiens,Nouvelleté d'Amiens (HS.81.Vanpelt.321),Conterdans (Quarrée) / HS.81.Vanpelt.321,Misc Traditional,,,0,1,40,23040,25.04343470642221,24,48,159,6.625,5,0,False,164,2.946104048421997,0.949685534591195,0.8993055555555556,/data2/zachary/musescore/data/Q/L/QmQLKSdXMqv9AxhFxH8rvdELDBtWu7KasGG7UDhgAsHyuc.mscz,True,/data2/zachary/musescore/data/Q/L/QmQLKSdXMqv9AxhFxH8rvdELDBtWu7KasGG7UDhgAsHyuc.mscz,True,/data2/zachary/musescore/data/Q/L/QmQLKSdXMqv9AxhFxH8rvdELDBtWu7KasGG7UDhgAsHyuc.mscz,True,False,True,False,./data/Q/L/QmQLKSdXMqv9AxhFxH8rvdELDBtWu7KasGG7UDhgAsHyuc.json./metadata/5/5871714.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,2,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,Johnny When You Die (267),Johnny When You Die (267),,Misc tunes,,,1,1,0,30720,31.999999999173333,16,64,105,6.5625,3,0,False,108,2.7111418586373883,1.0,0.9609375,/data2/zachary/musescore/data/U/f/QmUf4gMvMnyYbWyCSq8Mmuok7ovrn7ec6R2MrUpcN9UPSZ.mscz,False,/data2/zachary/musescore/data/U/f/QmUf4gMvMnyYbWyCSq8Mmuok7ovrn7ec6R2MrUpcN9UPSZ.mscz,False,/data2/zachary/musescore/data/d/Y/QmdYM5uy88Y2GTWmR1or5pGJWRMXP9o7JLwFtwKEk4znxb.mscz,True,False,True,False,./data/d/Y/QmdYM5uy88Y2GTWmR1or5pGJWRMXP9o7JLwFtwKEk4znxb.json./metadata/7/4986413.json,TrueFalseFalseFalseTrueTrue
