review/profileName,review/time,review/overall,review/taste,review/palate,review/appearance,beer/style,beer/name_beer/beerId
kepano,1118361600,17/20,7/10,4/5,5/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
Ratman197,1180915200,14/20,6/10,4/5,4/5,German Hefeweizen,Kannah Creek Highside Hefeweizen71010
ARMed,1062374400,12/20,6/10,3/5,2/5,Belgian Strong Ale,Casta Milenia13357
sseb69,1301097600,13/20,5/10,3/5,3/5,Belgian Strong Ale,RJ Le Cheval Blanc Titanic6364
Lumpy,1128384000,13/20,6/10,4/5,4/5,Scottish Ale,Pints Pub Gael Force Ale18327
Hophazard,1297900800,13/20,7/10,3/5,3/5,Amber Ale,Coalition King Kitty Red130189
EricE,1224288000,13/20,6/10,4/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
dnstone,1272758400,13/20,7/10,2/5,3/5,Oktoberfest/Mrzen,Flying Bison Baron Von Bisonfest26909
Steeeve,1296432000,13/20,7/10,3/5,4/5,Sweet Stout,The Duck-Rabbit Milk Stout38879
oh6gdx,1188172800,5/20,3/10,2/5,2/5,Low Alcohol,Stary Melnik Bezalkogolnoe64637
Papsoe,1316304000,15/20,7/10,4/5,3/5,India Pale Ale (IPA),Mountain Goat Rare Breed IPA117434
Ernest,1036540800,9/20,4/10,2/5,4/5,Brown Ale,Pints Pub Dark Star Ale18324
cheapdark,1299628800,17/20,6/10,3/5,3/5,Wheat Ale,Beaver Chamomile Wheat140359
jerc,1065398400,12/20,6/10,3/5,3/5,Amber Ale,RJ Spciale Ambre (Cheval Blanc)6361
highkin,1158796800,18/20,8/10,5/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
JoeMcPhee,1082851200,10/20,5/10,2/5,3/5,Amber Ale,Dead Frog Honey Brown4138
bob32256,1071273600,16/20,8/10,4/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
Leighton,1307145600,15/20,7/10,3/5,4/5,Oktoberfest/Mrzen,The Duck-Rabbit Mrzen111268
ZiggyG,1173484800,15/20,8/10,5/5,4/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
ross,1166745600,14/20,7/10,3/5,3/5,American Strong Ale,Flying Bison The Herc C-13054628
Silphium,1077494400,10/20,5/10,3/5,3/5,Stout,Denmark Isgood Stout19225
EithCubes,1239235200,11/20,7/10,3/5,4/5,Belgian Strong Ale,Barley Island Single White Friar Ale94962
LordCorkscrew,1276819200,11/20,5/10,2/5,2/5,Bitter,Sharps Doom Bar (Bottle)8575
pivnizub,1287014400,12/20,6/10,3/5,2/5,Zwickel/Keller/Landbier,Staudenbru Stauden Zwickel132042
BuckNaked,1126915200,12/20,7/10,3/5,3/5,India Pale Ale (IPA),City Steam Zoot Sims50127
jsh12bama,1277856000,7/20,4/10,3/5,3/5,American Pale Ale,Twains Mad Happy Pale Ale68957
Brantrn,1144713600,16/20,7/10,4/5,4/5,Schwarzbier,Escousse12862
nathan30533,1230163200,15/20,6/10,3/5,4/5,Sweet Stout,The Duck-Rabbit Milk Stout38879
KimJohansen,1229990400,16/20,8/10,4/5,4/5,Baltic Porter,The Duck-Rabbit Baltic Porter63820
omhper,1295222400,12/20,6/10,3/5,3/5,Belgian Ale,Daas Blond101632
GMCC2181,1204934400,15/20,7/10,3/5,3/5,Traditional Ale,Barley Island Sinister Minister Belgian Black Ale77833
jgb9348,1232150400,10/20,5/10,1/5,3/5,Specialty Grain,RJ Le Cheval Blanc Coup de Grisou6363
jerc,1090108800,10/20,5/10,2/5,2/5,Pilsener,Belle Gueule Pilsner8133
arrogantb,1235347200,14/20,6/10,4/5,4/5,India Pale Ale (IPA),Barley Island Barfly IPA58511
kp,1236470400,15/20,7/10,4/5,4/5,India Pale Ale (IPA),Montgomery Big 3 Bailout IPA100079
PalCabral,1284076800,10/20,6/10,3/5,4/5,Premium Bitter/ESB,Sharps Harvest Ale129626
DiarmaidBHK,1307664000,12/20,7/10,3/5,4/5,Imperial Stout,The Duck-Rabbit Rabid Duck Russian Imperial Stout54634
zvikar,1325289600,13/20,7/10,3/5,3/5,Klsch,BraufactuM Colonia136579
downender,1212278400,13/20,5/10,3/5,4/5,Golden Ale/Blond Ale,Old Spot Our Choice88416
spud1987,1201996800,17/20,9/10,4/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
Dudar,1296691200,19/20,10/10,5/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
SilkTork,1175558400,15/20,3/10,3/5,3/5,American Pale Ale,Mountain Goat India Pale Ale21556
william146,1263772800,18/20,9/10,4/5,4/5,Sweet Stout,The Duck-Rabbit Milk Stout38879
SkyCop32,1229817600,12/20,6/10,3/5,3/5,Bitter,Sharps Doom Bar (Bottle)8575
nate2g,1229126400,16/20,7/10,3/5,4/5,Stout,Mountain Goat Surefoot Stout8665
BigBeer45,1261785600,16/20,8/10,4/5,4/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
Papsoe,1122422400,12/20,6/10,3/5,3/5,Abbey Tripel,Brunehaut Abbaye de St Amand18797
Rynoplasty,1220054400,16/20,8/10,4/5,3/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
oldrtybastrd,1322956800,13/20,7/10,3/5,3/5,Belgian Ale,LAlsacienne Sans Culotte Pisse de Caribou126000
Padron4KM,1279324800,15/20,7/10,4/5,3/5,Spice/Herb/Vegetable,Sonoran Cordillera Blanca84364
DYCSoccer17,1116115200,10/20,5/10,3/5,3/5,Sweet Stout,City Steam Milk of Amnesia46011
otakuden,1234396800,11/20,4/10,3/5,3/5,Brown Ale,Big River Grille Sweet Magnolia American Brown Ale12938
eve,1165017600,18/20,9/10,3/5,4/5,Baltic Porter,The Duck-Rabbit Baltic Porter63820
NYHarvey,1120608000,13/20,7/10,3/5,3/5,German Hefeweizen,Mr Jims Cannon German Relief Hefeweizen48648
sneagrams3,1240444800,17/20,7/10,4/5,3/5,Bire de Garde,Mattingly Biere de Mars102065
hotstuff,1142035200,15/20,7/10,4/5,5/5,Stout,Barley Island Black Majic Java Stout56572
beerledgend,1162425600,10/20,5/10,2/5,3/5,English Strong Ale,Port Dock Old Preacher46419
pj1855,1223424000,13/20,6/10,3/5,4/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
BroueNeault,1094947200,14/20,7/10,3/5,4/5,Belgian White (Witbier),RJ Le Cheval Blanc Blanche (de Bl)6362
Radek Kliber,1038873600,15/20,8/10,4/5,4/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
JohnnyOS,1148515200,17/20,8/10,4/5,4/5,Sweet Stout,South Shore Coffee Mint Stout (Bourbon Barrel)51141
jnelson_22,1271203200,17/20,8/10,4/5,3/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
jde123,1145750400,17/20,8/10,4/5,4/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
GregClow,1031270400,12/20,7/10,3/5,3/5,Belgian Ale,RJ Spciale Rousse (Cheval Blanc)6357
JCapriotti,1094515200,13/20,6/10,2/5,3/5,Amber Ale,Virgin Islands Blackbeard Ale7249
Koelschtrinker,1307145600,10/20,5/10,3/5,3/5,Dortmunder/Helles,Wernecker Bayerisch Landbier Hell50041
mds,1148601600,13/20,6/10,3/5,3/5,Belgian Strong Ale,Brunehaut Lumire dHiver42206
BeerLimey,1075939200,14/20,8/10,3/5,5/5,Imperial Stout,Sonoran Inebriator Stout12350
Mads Langtved,1126483200,9/20,4/10,2/5,3/5,Weizen Bock,Schffler Bru Weisser Bock40227
tiong,1310860800,16/20,8/10,4/5,3/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
Lagerboy,1324252800,11/20,6/10,2/5,4/5,Golden Ale/Blond Ale,Wolf Golden Honey Ale153378
Acknud,1245456000,12/20,6/10,3/5,4/5,Irish Ale,Big River Grille Irish Red Ale12942
fonefan,1239753600,10/20,5/10,3/5,3/5,Bitter,North Cotswold Pig Brook55810
heemer77,1309392000,5/20,3/10,1/5,1/5,Belgian White (Witbier),Chameleon Witty118287
RayOhm,1296950400,13/20,7/10,3/5,5/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
PhillyCraft,1295827200,18/20,9/10,4/5,4/5,Baltic Porter,The Duck-Rabbit Baltic Porter63820
Got Stout?,1116288000,14/20,7/10,2/5,2/5,Stout,Denmark Isgood Stout19225
EnSiFeRuM,1208736000,10/20,5/10,2/5,3/5,Amber Ale,RJ Spciale Ambre (Cheval Blanc)6361
DasBierChef,1314489600,11/20,4/10,3/5,3/5,Premium Lager,Lucky Bucket Pre-Prohibition Lager100954
50belair,1316995200,13/20,6/10,3/5,4/5,Imperial/Strong Porter,Lucky Bucket Certified Evil 2010145726
Parasympatikus,1219276800,17/20,8/10,5/5,5/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
MAP,1124496000,15/20,7/10,4/5,4/5,Stout,South Shore Rhoades Scholar Stout14761
Nekronos,1145664000,11/20,6/10,3/5,3/5,Bitter,Sharps Atlantic IPA (Cask)49611
richlikebeer,1116979200,15/20,6/10,4/5,4/5,Belgian Strong Ale,Casta Milenia13357
Tmoney99,1133395200,13/20,6/10,3/5,3/5,Belgian White (Witbier),Barley Island Sheet Metal Blonde35731
nbutler11,1227139200,16/20,7/10,4/5,4/5,Stout,Barley Island Beastie Barrel Stout91689
Defreni,1277078400,13/20,6/10,3/5,3/5,Belgian Ale,Ne Kopstoot6995
ProstmanSux,1040860800,18/20,8/10,4/5,1/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
yngwie,1305590400,11/20,6/10,3/5,3/5,Dortmunder/Helles,Wernecker Bayerisch Landbier Hell50041
gam,1227657600,9/20,5/10,3/5,3/5,Stout,Mountain Goat Surefoot Stout8665
Fin,1289952000,12/20,6/10,3/5,3/5,Belgian Strong Ale,Sharps St Enodoc Double103835
Allstar,1275091200,15/20,8/10,5/5,5/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
harrisoni,1325203200,11/20,4/10,2/5,3/5,Dunkel,Calvors Dark Lager150277
Jesterdeal,1325203200,8/20,3/10,2/5,3/5,Imperial/Strong Porter,Iron Hill Imperial Coffee Porter96662
decaturstevo,1144454400,16/20,7/10,4/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
pivnizub,1299628800,9/20,4/10,2/5,3/5,Pale Lager,Stary Melnik Iz Bochonka Osoboe105093
maniac,1284681600,14/20,7/10,3/5,4/5,Abbey Dubbel,Brunehaut Abbaye de Saint-Martin Brune71721
alexanderj,1268006400,14/20,8/10,3/5,3/5,India Pale Ale (IPA),Sonoran Victorian IPA62185
doubleipa,1155772800,12/20,6/10,4/5,4/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
SkyCop32,1229817600,16/20,7/10,3/5,3/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
albertane,1232236800,19/20,9/10,4/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
SoLan,1168560000,17/20,9/10,4/5,4/5,Baltic Porter,The Duck-Rabbit Baltic Porter63820
donfardz64,1217116800,17/20,9/10,5/5,5/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
fuyajo,1130630400,13/20,6/10,4/5,3/5,Stout,Denmark Isgood Stout19225
Ernest,1324857600,16/20,8/10,4/5,5/5,German Hefeweizen,Wilde Rose Weizen63188
thebeertourist,1159488000,11/20,6/10,4/5,3/5,Wheat Ale,Casta Triguera7923
tbookman,993686400,19/20,10/10,5/5,4/5,Barley Wine,Eldridge Pope Thomas Hardys Ale (all vintages to 1999)999
Dfonorow,1243987200,17/20,8/10,5/5,4/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
bconley,1231459200,12/20,7/10,3/5,4/5,American Strong Ale,Sonoran 10068613
JohnC,1112054400,14/20,5/10,2/5,4/5,Stout,Big River Grille Iron Horse Stout12940
argo0,1129939200,12/20,6/10,3/5,3/5,Pale Lager,Harar8840
zencigar,1312243200,17/20,8/10,4/5,5/5,Doppelbock,The Duck-Rabbit Duck-Rabbator Dopplebock105689
Lumpy,1128384000,8/20,7/10,3/5,2/5,Brown Ale,Pints Pub Dark Star Ale18324
Haslinger,1202428800,16/20,8/10,4/5,4/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
womencantsail,1286582400,12/20,5/10,3/5,4/5,Barley Wine,The Duck-Rabbit Barleywine67542
joshpiledean,1085961600,6/20,3/10,2/5,3/5,Pilsener,Gem of the Sea Skinner Pilsner26481
HarryFlashman,1170028800,14/20,7/10,4/5,3/5,Bitter,Sharps Eden Pure Ale11400
kp,1249776000,16/20,7/10,3/5,4/5,Brown Ale,Big River Grille Firecracker Ale107075
maniac,1180051200,13/20,7/10,3/5,4/5,Porter,Alt Platz Mitey-Broo Stark Strong Ale66008
Viper666,1197763200,16/20,9/10,5/5,4/5,Baltic Porter,The Duck-Rabbit Baltic Porter63820
Enniskillen,1174521600,14/20,6/10,3/5,4/5,Imperial Stout,The Duck-Rabbit Rabid Duck Russian Imperial Stout54634
Jonte,1254528000,11/20,5/10,3/5,3/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
Eyedrinkale,1196467200,17/20,8/10,4/5,4/5,Scotch Ale,The Duck-Rabbit Wee Heavy Scotch Style Ale59173
Skyview,1179273600,16/20,7/10,3/5,4/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
HopsOrDie,1094601600,15/20,8/10,4/5,4/5,Imperial Stout,Sonoran Inebriator Stout12350
Spiesy,1070668800,9/20,5/10,2/5,3/5,Porter,Hebridean Celtic Black Ale22132
SpringsLicker,1308441600,16/20,7/10,4/5,4/5,India Pale Ale (IPA),Lucky Bucket IPA115220
pericles35,1196985600,16/20,9/10,3/5,5/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
MiP,1279065600,16/20,7/10,3/5,3/5,Zwickel/Keller/Landbier,Wernsdrfer Landbier74160
arjoseph,1118188800,7/20,4/10,3/5,4/5,Premium Bitter/ESB,Pints Pub Alchemy ESB18328
SeanMacGC,1215129600,17/20,8/10,4/5,5/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
fishingnet,1200873600,16/20,8/10,4/5,3/5,Baltic Porter,The Duck-Rabbit Baltic Porter63820
Drake,1312675200,3/20,2/10,2/5,2/5,Specialty Grain,RJ Le Cheval Blanc Coup de Grisou6363
rodenbach99,1281312000,6/20,2/10,2/5,4/5,Premium Lager,RJ Tremblay8194
Frovigalning,1318636800,12/20,6/10,3/5,3/5,Belgian Ale,Chimay Dore / Refterbier14228
JediMindTricks,1249257600,15/20,6/10,4/5,4/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
saxo,1292025600,11/20,6/10,3/5,2/5,Zwickel/Keller/Landbier,Thorbru Maximilians Kellerbier31392
TheReptilian,1101168000,20/20,10/10,5/5,5/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
baobubba,1049673600,13/20,7/10,4/5,3/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
jbrus,1067472000,14/20,7/10,3/5,3/5,Zwickel/Keller/Landbier,Wernecker Laurentius Unfiltriertes Kellerbier3356
bb,1324944000,15/20,7/10,3/5,3/5,India Pale Ale (IPA),Fire Mountain Brew House Bogart Northwest IPA141681
Benzai,1313712000,14/20,7/10,4/5,3/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
fiulijn,1302220800,16/20,7/10,5/5,4/5,India Pale Ale (IPA),Dead Frog Citra IPA137983
tympanic,1312588800,18/20,8/10,5/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
nuplastikk,1304035200,19/20,8/10,4/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
scrawfis,986774400,18/20,9/10,5/5,4/5,Barley Wine,Eldridge Pope Thomas Hardys Ale (all vintages to 1999)999
hezron,1143590400,15/20,6/10,3/5,3/5,Imperial Stout,The Duck-Rabbit Rabid Duck Russian Imperial Stout54634
proesti,1258156800,18/20,8/10,4/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
Oakes,1233705600,14/20,7/10,3/5,3/5,Belgian Strong Ale,Barley Island Single White Friar Ale94962
corby112,1293494400,17/20,8/10,4/5,4/5,Imperial Stout,The Duck-Rabbit Rabid Duck Russian Imperial Stout54634
jzzbassman,1129852800,14/20,7/10,4/5,3/5,Pilsener,Liquid Bread German Pilsener51659
jhliesen,1238112000,15/20,8/10,4/5,4/5,Scotch Ale,The Duck-Rabbit Wee Heavy Scotch Style Ale59173
Kristall-Knig,1313107200,16/20,8/10,4/5,4/5,Abbey Tripel,La Ramee Amber8879
dberger624,1039910400,18/20,10/10,4/5,5/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
Aurelius,1043539200,16/20,8/10,4/5,5/5,Brown Ale,Big River Grille Sweet Magnolia American Brown Ale12938
DocLock,1210550400,15/20,7/10,4/5,4/5,India Pale Ale (IPA),Landmark India Pale Ale70291
Christian,1302998400,14/20,7/10,3/5,3/5,Schwarzbier,The Duck-Rabbit Schwarzbier105762
RCL,1166832000,14/20,6/10,4/5,5/5,Scotch Ale,The Duck-Rabbit Wee Heavy Scotch Style Ale59173
LordCorkscrew,1203465600,9/20,5/10,3/5,3/5,Belgian Ale,Brunehaut Abbaye de Saint-Martin Blonde19047
Skyview,1232582400,16/20,7/10,3/5,4/5,India Pale Ale (IPA),Sonoran Victorian IPA62185
radiomgb,1171929600,15/20,7/10,3/5,4/5,Amber Ale,The Duck-Rabbit Amber Ale38876
OldGrowth,1152316800,13/20,7/10,4/5,4/5,Amber Ale,The Duck-Rabbit Amber Ale38876
jason,1174780800,11/20,5/10,3/5,2/5,Irish Ale,Flying Bison Aviator Red11133
imdownthepub,1182643200,10/20,5/10,2/5,1/5,Golden Ale/Blond Ale,North Cotswold Vanilla Bumble67213
argo0,1084665600,11/20,5/10,3/5,3/5,American Pale Ale,Casta Bruna7922
rickgordon,1059868800,12/20,5/10,3/5,3/5,Pale Lager,Stary Melnik Zolotoe (Gold)25813
presario,1189814400,15/20,8/10,4/5,4/5,Brown Ale,Dead Frog Nut Brown Ale4140
jcwattsrugger,1211587200,11/20,7/10,3/5,3/5,Scotch Ale,Koala Scotch Ale88082
jimbowood,1209772800,17/20,8/10,3/5,4/5,Abbey Tripel,Twains Stormys Trippel86178
omhper,1188345600,11/20,7/10,3/5,4/5,English Strong Ale,Parish Bazs Bonce Blower (BBB)18009
radiomgb,1110240000,14/20,7/10,3/5,3/5,Belgian Strong Ale,Casta Unica36177
jesperhammer,1262390400,14/20,5/10,4/5,3/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
Hank1980,1237939200,15/20,7/10,4/5,4/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
luttonm,1224720000,16/20,7/10,4/5,4/5,Imperial Stout,The Duck-Rabbit Rabid Duck Russian Imperial Stout54634
BlackDonald,1209081600,18/20,8/10,4/5,5/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
Pernille,1120435200,17/20,8/10,4/5,4/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
Emil,1168473600,13/20,6/10,3/5,3/5,Sweet Stout,The Duck-Rabbit Milk Stout38879
argo0,1046044800,8/20,4/10,2/5,3/5,Wheat Ale,Sonoran Heartland Hefe2300
Geiserich,1275868800,12/20,6/10,3/5,4/5,Pilsener,Wilde Rose Pils17669
Draco,1270425600,20/20,10/10,5/5,5/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
chriso,1261353600,14/20,7/10,3/5,3/5,Belgian Strong Ale,Sharps 4104141
Syd,1071792000,15/20,7/10,3/5,4/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
Shag,1139875200,14/20,7/10,3/5,4/5,Porter,Big River Grille Black Cherry Porter56059
Jonb5,1296000000,11/20,6/10,3/5,3/5,Bitter,Sharps Doom Bar (Cask)63098
marchcow,1214179200,16/20,8/10,4/5,4/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
drewdogg,1187481600,16/20,7/10,4/5,5/5,Imperial Stout,The Duck-Rabbit Rabid Duck Russian Imperial Stout54634
JohnnyOS,1140998400,11/20,5/10,3/5,3/5,Brown Ale,South Shore Nut Brown Ale18359
motelpogo,1037059200,11/20,6/10,3/5,3/5,German Hefeweizen,Hofer Bru Weisse17817
GreatLibations,1265241600,16/20,9/10,4/5,5/5,Abbey Dubbel,Brunehaut Abbaye de Saint-Martin Brune71721
Dorwart,1190937600,14/20,8/10,4/5,3/5,Scottish Ale,RJ Le Cheval Blanc Loch Ness6365
dogbomb,1322956800,16/20,7/10,5/5,3/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
BoBoChamp,1216684800,15/20,7/10,3/5,3/5,Belgian Strong Ale,La Ramee Blond12185
jobyone,1195862400,14/20,7/10,4/5,4/5,Brown Ale,The Duck-Rabbit Brown Ale38877
kp,1232236800,15/20,7/10,5/5,4/5,Spice/Herb/Vegetable,Twains Cinnamon Honest Lender95965
mike67,1295654400,16/20,8/10,4/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
zach8270,1161475200,13/20,6/10,3/5,3/5,Specialty Grain,Flying Bison Orion Rye63009
UnholyBrewing,1206489600,17/20,7/10,4/5,4/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
BartC,1243987200,11/20,6/10,3/5,3/5,Dunkel,C.K. Browar Dunkel63263
jaghana,1306972800,9/20,5/10,3/5,3/5,Pale Lager,LAlsacienne Sans Culotte22387
waveman352,1103328000,14/20,7/10,3/5,4/5,Irish Ale,Flying Bison Aviator Red11133
nhorween,1203724800,15/20,6/10,3/5,3/5,Sweet Stout,The Duck-Rabbit Milk Stout38879
Forsberg_dk,1280016000,16/20,9/10,4/5,4/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
AxB,1265328000,15/20,8/10,3/5,5/5,Belgian Strong Ale,RJ Blonde dAchouffe6359
Ryan82SM,1291420800,12/20,7/10,3/5,4/5,Abbey Dubbel,Brunehaut Abbaye de Saint-Martin Brune71721
hammenlind,1119744000,17/20,9/10,4/5,4/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
Rusty,1245456000,14/20,7/10,3/5,3/5,India Pale Ale (IPA),Beaver Street India Pale Ale13379
AustinMilbarge,1086912000,9/20,6/10,3/5,4/5,Pale Lager,Harar8840
Oakes,1093132800,16/20,7/10,4/5,4/5,Dunkel,Osterbrau Pilsner Special38002
shrubber85,1176422400,12/20,6/10,3/5,4/5,Imperial Stout,The Duck-Rabbit Rabid Duck Russian Imperial Stout54634
DrHomolka,1190332800,16/20,6/10,3/5,3/5,Sweet Stout,The Duck-Rabbit Milk Stout38879
aaronh,1065744000,17/20,8/10,4/5,5/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
mwelsh13,1231200000,18/20,9/10,4/5,5/5,Sweet Stout,The Duck-Rabbit Milk Stout38879
DrBayern,1145577600,16/20,8/10,4/5,4/5,Imperial Stout,The Duck-Rabbit Rabid Duck Russian Imperial Stout54634
omhper,1169769600,12/20,6/10,3/5,3/5,Barley Wine,Koala Strong Ale69140
thegreenrooster,1080345600,12/20,8/10,3/5,5/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
SDbruboy,1061510400,16/20,8/10,4/5,4/5,India Pale Ale (IPA),Sonoran IPA2298
TheEpeeist,1206316800,16/20,7/10,3/5,3/5,Porter,The Duck-Rabbit Porter38878
SimonPatrice,1047945600,5/20,4/10,2/5,2/5,Pilsener,Belle Gueule Pilsner8133
